topic,network,alpha,seed,agent,type,z,z_neighbors,gap,degree
abortion,random,0.0,5,47,Type-L,0.842792,0.837099,0.005692,5
abortion,random,0.0,5,48,Type-L,0.826662,0.840326,0.013664,5
abortion,random,0.0,5,49,Type-L,0.706151,0.840326,0.134175,5
abortion,random,0.0,6,0,Type-L,0.264848,-0.809602,1.07445,5
abortion,random,0.0,6,1,Type-L,0.349531,-0.809602,1.159132,5
abortion,random,0.0,6,2,Type-L,-0.807544,-0.809602,0.002058,5
abortion,random,0.0,6,3,Type-L,-0.324508,-0.809602,0.485094,5
abortion,random,0.0,6,4,Type-L,0.230065,-0.809602,1.039667,5
abortion,random,0.0,6,5,Type-L,0.099888,-0.809602,0.90949,5
abortion,random,0.0,6,6,Type-L,-0.299835,-0.809602,0.509767,5
abortion,random,0.0,6,7,Type-L,0.036338,-0.809602,0.84594,5
abortion,random,0.0,6,8,Type-L,-0.045759,-0.809602,0.763843,5
abortion,random,0.0,6,9,Type-L,-0.143031,-0.809602,0.666571,5
abortion,random,0.0,6,10,Type-L,-0.029864,-0.809602,0.779738,5
abortion,random,0.0,6,11,Type-L,-0.812689,-0.808573,0.004116,5
abortion,random,0.0,6,12,Type-L,0.329278,-0.809602,1.13888,5
abortion,random,0.0,6,13,Type-L,-0.086622,-0.809602,0.722979,5
abortion,random,0.0,6,14,Type-L,-0.807544,-0.809602,0.002058,5
abortion,random,0.0,6,15,Type-L,-0.812689,-0.808573,0.004116,5
abortion,random,0.0,6,16,Type-L,0.069477,-0.809602,0.879078,5
abortion,random,0.0,6,17,Type-L,0.405339,-0.809602,1.214941,5
abortion,random,0.0,6,18,Type-L,0.31691,-0.809602,1.126512,5
abortion,random,0.0,6,19,Type-L,-0.021549,-0.809602,0.788053,5
abortion,random,0.0,6,20,Type-L,-0.173255,-0.809602,0.636347,5
abortion,random,0.0,6,21,Type-L,-0.807544,-0.809602,0.002058,5
abortion,random,0.0,6,22,Type-L,-0.807544,-0.809602,0.002058,5
abortion,random,0.0,6,23,Type-L,0.070736,-0.809602,0.880337,5
abortion,random,0.0,6,24,Type-L,-0.295512,-0.809602,0.51409,5
abortion,random,0.0,6,25,Type-L,-0.259993,-0.809602,0.549608,5
abortion,random,0.0,6,26,Type-L,0.261794,-0.809602,1.071396,5
abortion,random,0.0,6,27,Type-L,-0.718432,-0.72313,0.004698,5
abortion,random,0.0,6,28,Type-L,0.395664,-0.366323,0.761987,5
abortion,random,0.0,6,29,Type-L,-0.718432,-0.72313,0.004698,5
abortion,random,0.0,6,30,Type-L,-0.718432,-0.72313,0.004698,5
abortion,random,0.0,6,31,Type-L,-0.651767,-0.379656,0.272111,5
abortion,random,0.0,6,32,Type-L,-0.719474,-0.722922,0.003448,5
abortion,random,0.0,6,33,Type-L,0.349171,0.090994,0.258177,5
abortion,random,0.0,6,34,Type-L,0.036854,0.025028,0.011827,5
abortion,random,0.0,6,35,Type-L,0.29574,-0.141732,0.437472,5
abortion,random,0.0,6,36,Type-L,0.858308,0.842993,0.015316,5
abortion,random,0.0,6,37,Type-L,0.22948,0.293714,0.064234,5
abortion,random,0.0,6,38,Type-L,0.178017,0.256386,0.078369,5
abortion,random,0.0,6,39,Type-L,0.560988,0.403473,0.157515,5
abortion,random,0.0,6,40,Type-L,0.517662,0.412139,0.105523,5
abortion,random,0.0,6,41,Type-L,0.940482,0.916177,0.024305,5
abortion,random,0.0,6,42,Type-L,0.931817,0.877397,0.05442,5
abortion,random,0.0,6,43,Type-L,0.932361,0.917801,0.01456,5
abortion,random,0.0,6,44,Type-L,0.824596,0.849735,0.02514,5
abortion,random,0.0,6,45,Type-L,0.899038,0.924466,0.025428,5
abortion,random,0.0,6,46,Type-L,0.899038,0.879922,0.019116,5
abortion,random,0.0,6,47,Type-L,0.906006,0.923072,0.017066,5
abortion,random,0.0,6,48,Type-L,0.911663,0.921941,0.010278,5
abortion,random,0.0,6,49,Type-L,0.686286,0.924466,0.23818,5
abortion,random,0.0,7,0,Type-L,0.192913,-0.768372,0.961285,5
abortion,random,0.0,7,1,Type-L,-0.768372,-0.768372,0.0,5
abortion,random,0.0,7,2,Type-L,-0.768372,-0.768372,0.0,5
abortion,random,0.0,7,3,Type-L,-0.52168,-0.768372,0.246693,5
abortion,random,0.0,7,4,Type-L,-0.48852,-0.768372,0.279852,5
abortion,random,0.0,7,5,Type-L,-0.46873,-0.768372,0.299642,5
abortion,random,0.0,7,6,Type-L,-0.207227,-0.768372,0.561146,5
abortion,random,0.0,7,7,Type-L,-0.768372,-0.768372,0.0,5
abortion,random,0.0,7,8,Type-L,-0.408664,-0.768372,0.359708,5
abortion,random,0.0,7,9,Type-L,-0.345287,-0.768372,0.423085,5
abortion,random,0.0,7,10,Type-L,-0.246226,-0.768372,0.522146,5
abortion,random,0.0,7,11,Type-L,-0.768372,-0.768372,0.0,5
abortion,random,0.0,7,12,Type-L,0.103182,-0.768372,0.871554,5
abortion,random,0.0,7,13,Type-L,-0.206924,-0.768372,0.561448,5
abortion,random,0.0,7,14,Type-L,-0.756426,-0.768372,0.011947,5
abortion,random,0.0,7,15,Type-L,-0.768372,-0.768372,0.0,5
abortion,random,0.0,7,16,Type-L,-0.768372,-0.768372,0.0,5
abortion,random,0.0,7,17,Type-L,-0.662016,-0.768372,0.106356,5
abortion,random,0.0,7,18,Type-L,-0.720019,-0.768372,0.048353,5
abortion,random,0.0,7,19,Type-L,0.093971,-0.768372,0.862344,5
abortion,random,0.0,7,20,Type-L,-0.710115,-0.768372,0.058257,5
abortion,random,0.0,7,21,Type-L,-0.582036,-0.768372,0.186337,5
abortion,random,0.0,7,22,Type-L,-0.768372,-0.768372,0.0,5
abortion,random,0.0,7,23,Type-L,-0.06939,-0.768372,0.698982,5
abortion,random,0.0,7,24,Type-L,-0.67631,-0.768372,0.092062,5
abortion,random,0.0,7,25,Type-L,-0.520535,-0.768372,0.247838,5
abortion,random,0.0,7,26,Type-L,-0.768372,-0.768372,0.0,5
abortion,random,0.0,7,27,Type-L,-0.686242,-0.679411,0.006832,5
abortion,random,0.0,7,28,Type-L,-0.738086,-0.441418,0.296668,5
abortion,random,0.0,7,29,Type-L,-0.686242,-0.679411,0.006832,5
abortion,random,0.0,7,30,Type-L,-0.686242,-0.679411,0.006832,5
abortion,random,0.0,7,31,Type-L,-0.495888,-0.481626,0.014262,5
abortion,random,0.0,7,32,Type-L,-0.686242,-0.697772,0.01153,5
abortion,random,0.0,7,33,Type-L,-0.032703,0.090205,0.122907,5
abortion,random,0.0,7,34,Type-L,-0.052893,0.042913,0.095806,5
abortion,random,0.0,7,35,Type-L,-0.063736,-0.156532,0.092796,5
abortion,random,0.0,7,36,Type-L,0.80474,0.785637,0.019103,5
abortion,random,0.0,7,37,Type-L,0.11385,0.237301,0.123451,5
abortion,random,0.0,7,38,Type-L,0.344159,0.191239,0.15292,5
abortion,random,0.0,7,39,Type-L,0.452279,0.518752,0.066473,5
abortion,random,0.0,7,40,Type-L,0.572776,0.494652,0.078124,5
abortion,random,0.0,7,41,Type-L,0.87157,0.84377,0.0278,5
abortion,random,0.0,7,42,Type-L,0.756274,0.818116,0.061842,5
abortion,random,0.0,7,43,Type-L,0.867179,0.844648,0.022531,5
abortion,random,0.0,7,44,Type-L,0.801361,0.786313,0.015048,5
abortion,random,0.0,7,45,Type-L,0.821776,0.853729,0.031953,5
abortion,random,0.0,7,46,Type-L,0.727636,0.853857,0.12622,5
abortion,random,0.0,7,47,Type-L,0.867192,0.844646,0.022546,5
abortion,random,0.0,7,48,Type-L,0.841566,0.849771,0.008205,5
abortion,random,0.0,7,49,Type-L,0.821137,0.853857,0.03272,5
abortion,random,0.0,8,0,Type-L,-0.148463,-0.72254,0.574078,5
abortion,random,0.0,8,1,Type-L,-0.72254,-0.72254,0.0,5
abortion,random,0.0,8,2,Type-L,-0.588082,-0.72254,0.134459,5
abortion,random,0.0,8,3,Type-L,-0.370333,-0.72254,0.352207,5
abortion,random,0.0,8,4,Type-L,-0.299029,-0.72254,0.423512,5
abortion,random,0.0,8,5,Type-L,-0.666943,-0.72254,0.055598,5
abortion,random,0.0,8,6,Type-L,-0.72254,-0.72254,0.0,5
abortion,random,0.0,8,7,Type-L,-0.72254,-0.72254,0.0,5
abortion,random,0.0,8,8,Type-L,-0.532244,-0.72254,0.190296,5
abortion,random,0.0,8,9,Type-L,-0.557036,-0.72254,0.165505,5
abortion,random,0.0,8,10,Type-L,-0.320485,-0.72254,0.402056,5
abortion,random,0.0,8,11,Type-L,-0.72254,-0.72254,0.0,5
